Log dictionary size,lookup_kzh2(ms),lookup_kzh4(s)
1,0.00003117,0.0001834
2,0.00003041,0.0001966
3,0.00003354,0.0001879
4,0.00002748,0.0006199
5,0.00002923,0.001929
6,0.00003052,0.002012
7,0.00003421,0.001857
8,0.00004216,0.003738
9,0.00010950,0.004985
10,0.00015710,0.007104
11,0.00013640,0.01144
12,0.00023640,0.03323
13,0.00021240,0.06257
14,0.00024610,0.1225
15,0.00036590,0.2600
16,0.00045500,0.52
17,0.00080900,1.04
18,0.00232700,2.08
19,0.00138800,4.16
20,0.00279100,4.98
21,0.00490100,8.31
22,0.00987900,8.98
23,0.01899000,14.11
24,0.03786000,15.29
25,0.07522000,26.32
26,0.14910000,27.01
27,0.29520000,45.11
28,0.61100000,45.92
29,1.21200000,90.50
30,2.42400000,94.92
31,4.84800000,169.19
32,9.69600000,170.20
